Time (sec); Capacity;
2805;4,07315e-10;
2810;4,06802e-10;
2815;4,03828e-10;
2820;4,03479e-10;
2825;4,02001e-10;
2830;3,96976e-10;
2835;3,95051e-10;
2840;3,95227e-10;
2845;3,93608e-10;
2850;3,90364e-10;
2855;3,8907e-10;
2860;3,88211e-10;
2865;3,88021e-10;
2870;3,84157e-10;
2875;3,82817e-10;
2880;3,8207e-10;
2885;3,80729e-10;
2890;3,7787e-10;
2895;3,74913e-10;
2900;3,74899e-10;
2905;3,71898e-10;
2910;3,71391e-10;
2915;3,69299e-10;
2920;3,69081e-10;
2925;3,6664e-10;
2930;3,64948e-10;
2935;3,63932e-10;
2940;3,61235e-10;
2945;3,59372e-10;
2950;3,56884e-10;
2955;3,5766e-10;
2960;3,55216e-10;
2965;3,53696e-10;
2970;3,54133e-10;
2975;3,52044e-10;
2980;3,49552e-10;
2985;3,47803e-10;
2990;3,46067e-10;
2995;3,45045e-10;
3000;3,43544e-10;
3005;3,43976e-10;
3010;3,40028e-10;
3015;3,3938e-10;
3020;3,38748e-10;
3025;3,38797e-10;
3030;3,37371e-10;
3035;3,34208e-10;
3040;3,32731e-10;
3045;3,31464e-10;
3050;3,28553e-10;
3055;3,29424e-10;
3060;3,26476e-10;
3065;3,26457e-10;
3070;3,25284e-10;
3075;3,23637e-10;
3080;3,2115e-10;
3085;3,2191e-10;
3090;3,20032e-10;
3095;3,18353e-10;
3100;3,168e-10;
3105;3,15827e-10;
3110;3,14711e-10;
3115;3,13076e-10;
3120;3,13864e-10;
3125;3,10269e-10;
3130;3,08794e-10;
3135;3,10633e-10;
3140;3,07371e-10;
3145;3,06589e-10;
3150;3,05876e-10;
3155;3,03695e-10;
3160;3,04236e-10;
3165;3,0142e-10;
3170;3,00133e-10;
3175;3,00474e-10;
3180;3,00984e-10;
3185;2,98363e-10;
3190;2,94897e-10;
3195;2,96813e-10;
3200;2,94065e-10;
3205;2,94363e-10;
3210;2,92471e-10;
3215;2,90218e-10;
3220;2,88083e-10;
3225;2,89392e-10;
3230;2,86908e-10;
3235;2,86358e-10;
3240;2,85565e-10;
3245;2,84642e-10;
3250;2,85347e-10;
3255;2,83905e-10;
3260;2,82824e-10;
3265;2,80743e-10;
3270;2,79839e-10;
3275;2,79038e-10;
3280;2,7861e-10;
3285;2,77487e-10;
3290;2,77165e-10;
3295;2,74916e-10;
3300;2,75088e-10;
3305;2,7293e-10;
3310;2,73971e-10;
3315;2,70797e-10;
3320;2,70411e-10;
3325;2,71542e-10;
3330;2,69624e-10;
3335;2,68931e-10;
3340;2,6715e-10;
3345;2,66244e-10;
3350;2,64791e-10;
3355;2,66147e-10;
3360;2,64128e-10;
3365;2,62574e-10;
3370;2,63024e-10;
3375;2,61192e-10;
3380;2,60404e-10;
3385;2,58169e-10;
3390;2,58373e-10;
3395;2,57584e-10;
3400;2,56359e-10;
3405;2,54921e-10;
3410;2,55097e-10;
3415;2,55312e-10;
3420;2,55181e-10;
3425;2,5266e-10;
3430;2,52292e-10;
3435;2,52024e-10;
3440;2,51388e-10;
3445;2,50047e-10;
3450;2,47595e-10;
3455;2,48255e-10;
3460;2,47984e-10;
3465;2,45242e-10;
3470;2,456e-10;
3475;2,46476e-10;
3480;2,45364e-10;
3485;2,42837e-10;
3490;2,41359e-10;
3495;2,42069e-10;
3500;2,4127e-10;
3505;2,40036e-10;
3510;2,39068e-10;
3515;2,38512e-10;
3520;2,39027e-10;
3525;2,36685e-10;
3530;2,35844e-10;
3535;2,36979e-10;
3540;2,35309e-10;
3545;2,34285e-10;
3550;2,3354e-10;
3555;2,31777e-10;
3560;2,33243e-10;
3565;2,31071e-10;
3570;2,3042e-10;
3575;2,30411e-10;
3580;2,29371e-10;
3585;2,29406e-10;
3590;2,26592e-10;
3595;2,26827e-10;
3600;2,28162e-10;
3605;2,2729e-10;
3610;2,24438e-10;
3615;2,24854e-10;
3620;2,24401e-10;
3625;2,22746e-10;
3630;2,22909e-10;
3635;2,22644e-10;
3640;2,23018e-10;
3645;2,21781e-10;
3650;2,203e-10;
3655;2,20244e-10;
3660;2,20839e-10;
3665;2,18876e-10;
3670;2,17518e-10;
3675;2,16052e-10;
3680;2,15988e-10;
3685;2,14599e-10;
3690;2,16215e-10;
3695;2,13241e-10;
3700;2,14513e-10;
3705;2,13963e-10;
3710;2,14302e-10;
3715;2,12849e-10;
3720;2,10659e-10;
3725;2,11163e-10;
3730;2,08928e-10;
3735;2,10876e-10;
3740;2,08268e-10;
3745;2,08558e-10;
3750;2,08628e-10;
3755;2,06617e-10;
3760;2,07136e-10;
3765;2,05999e-10;
